id,immOpt,delOpt,delay,task
1,4.999650024,5,7,reward
2,9.999300049,10,7,reward
3,19.9986001,20,7,reward
4,49.99650024,50,7,reward
5,99.99300049,100,7,reward
6,4.99850045,5,30,reward
7,9.9970009,10,30,reward
8,19.9940018,20,30,reward
9,49.9850045,50,30,reward
10,99.970009,100,30,reward
11,4.995504046,5,90,reward
12,9.991008093,10,90,reward
13,19.98201619,20,90,reward
14,49.95504046,50,90,reward
15,99.91008093,100,90,reward
16,4.991016171,5,180,reward
17,9.982032342,10,180,reward
18,19.96406468,20,180,reward
19,49.91016171,50,180,reward
20,99.82032342,100,180,reward
21,4.98181637,5,365,reward
22,9.96363274,10,365,reward
23,19.92726548,20,365,reward
24,49.8181637,50,365,reward
25,99.6363274,100,365,reward
26,4.965243297,5,7,reward
27,9.930486594,10,7,reward
28,19.86097319,20,7,reward
29,49.65243297,50,7,reward
30,99.30486594,100,7,reward
31,4.854368932,5,30,reward
32,9.708737864,10,30,reward
33,19.41747573,20,30,reward
34,48.54368932,50,30,reward
35,97.08737864,100,30,reward
36,4.587155963,5,90,reward
37,9.174311927,10,90,reward
38,18.34862385,20,90,reward
39,45.87155963,50,90,reward
40,91.74311927,100,90,reward
41,4.237288136,5,180,reward
42,8.474576271,10,180,reward
43,16.94915254,20,180,reward
44,42.37288136,50,180,reward
45,84.74576271,100,180,reward
46,3.663003663,5,365,reward
47,7.326007326,10,365,reward
48,14.65201465,20,365,reward
49,36.63003663,50,365,reward
50,73.26007326,100,365,reward
51,4.672897196,5,7,reward
52,9.345794393,10,7,reward
53,18.69158879,20,7,reward
54,46.72897196,50,7,reward
55,93.45794393,100,7,reward
56,3.846153846,5,30,reward
57,7.692307692,10,30,reward
58,15.38461538,20,30,reward
59,38.46153846,50,30,reward
60,76.92307692,100,30,reward
61,2.631578947,5,90,reward
62,5.263157895,10,90,reward
63,10.52631579,20,90,reward
64,26.31578947,50,90,reward
65,52.63157895,100,90,reward
66,1.785714286,5,180,reward
67,3.571428571,10,180,reward
68,7.142857143,20,180,reward
69,17.85714286,50,180,reward
70,35.71428571,100,180,reward
71,1.075268817,5,365,reward
72,2.150537634,10,365,reward
73,4.301075269,20,365,reward
74,10.75268817,50,365,reward
75,21.50537634,100,365,reward
76,0.961538462,5,7,reward
77,1.923076923,10,7,reward
78,3.846153846,20,7,reward
79,9.615384615,50,7,reward
80,19.23076923,100,7,reward
81,0.263157895,5,30,reward
82,0.526315789,10,30,reward
83,1.052631579,20,30,reward
84,2.631578947,50,30,reward
85,5.263157895,100,30,reward
86,0.090909091,5,90,reward
87,0.181818182,10,90,reward
88,0.363636364,20,90,reward
89,0.909090909,50,90,reward
90,1.818181818,100,90,reward
91,0.04587156,5,180,reward
92,0.091743119,10,180,reward
93,0.183486239,20,180,reward
94,0.458715596,50,180,reward
95,0.917431193,100,180,reward
96,0.022727273,5,365,reward
97,0.045454545,10,365,reward
98,0.090909091,20,365,reward
99,0.227272727,50,365,reward
100,0.454545455,100,365,reward
