id,immOpt,delOpt,delay,task
1,4.999650024,5,7,reward
2,9.999300049,10,7,reward
3,19.9986001,20,7,reward
4,49.99650024,50,7,reward
5,4.99850045,5,30,reward
6,9.9970009,10,30,reward
7,19.9940018,20,30,reward
8,49.9850045,50,30,reward
9,4.995504046,5,90,reward
10,9.991008093,10,90,reward
11,19.98201619,20,90,reward
12,49.95504046,50,90,reward
13,4.991016171,5,180,reward
14,9.982032342,10,180,reward
15,19.96406468,20,180,reward
16,49.91016171,50,180,reward
17,4.98181637,5,365,reward
18,9.96363274,10,365,reward
19,19.92726548,20,365,reward
20,49.8181637,50,365,reward
21,4.965243297,5,7,reward
22,9.930486594,10,7,reward
23,19.86097319,20,7,reward
24,49.65243297,50,7,reward
25,4.854368932,5,30,reward
26,9.708737864,10,30,reward
27,19.41747573,20,30,reward
28,48.54368932,50,30,reward
29,4.587155963,5,90,reward
30,9.174311927,10,90,reward
31,18.34862385,20,90,reward
32,45.87155963,50,90,reward
33,4.237288136,5,180,reward
34,8.474576271,10,180,reward
35,16.94915254,20,180,reward
36,42.37288136,50,180,reward
37,3.663003663,5,365,reward
38,7.326007326,10,365,reward
39,14.65201465,20,365,reward
40,36.63003663,50,365,reward
41,4.672897196,5,7,reward
42,9.345794393,10,7,reward
43,18.69158879,20,7,reward
44,46.72897196,50,7,reward
45,3.846153846,5,30,reward
46,7.692307692,10,30,reward
47,15.38461538,20,30,reward
48,38.46153846,50,30,reward
49,2.631578947,5,90,reward
50,5.263157895,10,90,reward
51,10.52631579,20,90,reward
52,26.31578947,50,90,reward
53,1.785714286,5,180,reward
54,3.571428571,10,180,reward
55,7.142857143,20,180,reward
56,17.85714286,50,180,reward
57,1.075268817,5,365,reward
58,2.150537634,10,365,reward
59,4.301075269,20,365,reward
60,10.75268817,50,365,reward
61,0.961538462,5,7,reward
62,1.923076923,10,7,reward
63,3.846153846,20,7,reward
64,9.615384615,50,7,reward
65,0.263157895,5,30,reward
66,0.526315789,10,30,reward
67,1.052631579,20,30,reward
68,2.631578947,50,30,reward
69,0.090909091,5,90,reward
70,0.181818182,10,90,reward
71,0.363636364,20,90,reward
72,0.909090909,50,90,reward
73,0.04587156,5,180,reward
74,0.091743119,10,180,reward
75,0.183486239,20,180,reward
76,0.458715596,50,180,reward
77,0.022727273,5,365,reward
78,0.045454545,10,365,reward
79,0.090909091,20,365,reward
80,0.227272727,50,365,reward
81,4.999650024,5,7,loss
82,9.999300049,10,7,loss
83,19.9986001,20,7,loss
84,49.99650024,50,7,loss
85,4.99850045,5,30,loss
86,9.9970009,10,30,loss
87,19.9940018,20,30,loss
88,49.9850045,50,30,loss
89,4.995504046,5,90,loss
90,9.991008093,10,90,loss
91,19.98201619,20,90,loss
92,49.95504046,50,90,loss
93,4.991016171,5,180,loss
94,9.982032342,10,180,loss
95,19.96406468,20,180,loss
96,49.91016171,50,180,loss
97,4.98181637,5,365,loss
98,9.96363274,10,365,loss
99,19.92726548,20,365,loss
100,49.8181637,50,365,loss
101,4.965243297,5,7,loss
102,9.930486594,10,7,loss
103,19.86097319,20,7,loss
104,49.65243297,50,7,loss
105,4.854368932,5,30,loss
106,9.708737864,10,30,loss
107,19.41747573,20,30,loss
108,48.54368932,50,30,loss
109,4.587155963,5,90,loss
110,9.174311927,10,90,loss
111,18.34862385,20,90,loss
112,45.87155963,50,90,loss
113,4.237288136,5,180,loss
114,8.474576271,10,180,loss
115,16.94915254,20,180,loss
116,42.37288136,50,180,loss
117,3.663003663,5,365,loss
118,7.326007326,10,365,loss
119,14.65201465,20,365,loss
120,36.63003663,50,365,loss
121,4.672897196,5,7,loss
122,9.345794393,10,7,loss
123,18.69158879,20,7,loss
124,46.72897196,50,7,loss
125,3.846153846,5,30,loss
126,7.692307692,10,30,loss
127,15.38461538,20,30,loss
128,38.46153846,50,30,loss
129,2.631578947,5,90,loss
130,5.263157895,10,90,loss
131,10.52631579,20,90,loss
132,26.31578947,50,90,loss
133,1.785714286,5,180,loss
134,3.571428571,10,180,loss
135,7.142857143,20,180,loss
136,17.85714286,50,180,loss
137,1.075268817,5,365,loss
138,2.150537634,10,365,loss
139,4.301075269,20,365,loss
140,10.75268817,50,365,loss
141,0.961538462,5,7,loss
142,1.923076923,10,7,loss
143,3.846153846,20,7,loss
144,9.615384615,50,7,loss
145,0.263157895,5,30,loss
146,0.526315789,10,30,loss
147,1.052631579,20,30,loss
148,2.631578947,50,30,loss
149,0.090909091,5,90,loss
150,0.181818182,10,90,loss
151,0.363636364,20,90,loss
152,0.909090909,50,90,loss
153,0.04587156,5,180,loss
154,0.091743119,10,180,loss
155,0.183486239,20,180,loss
156,0.458715596,50,180,loss
157,0.022727273,5,365,loss
158,0.045454545,10,365,loss
159,0.090909091,20,365,loss
160,0.227272727,50,365,loss
