id,immOpt,delOpt,delay,task
1,1.960784314,2,2,reward
2,4.901960784,5,2,reward
3,9.803921569,10,2,reward
4,19.60784314,20,2,reward
5,1.869158879,2,7,reward
6,4.672897196,5,7,reward
7,9.345794393,10,7,reward
8,18.69158879,20,7,reward
9,1.538461538,2,30,reward
10,3.846153846,5,30,reward
11,7.692307692,10,30,reward
12,15.38461538,20,30,reward
13,1.052631579,2,90,reward
14,2.631578947,5,90,reward
15,5.263157895,10,90,reward
16,10.52631579,20,90,reward
17,0.714285714,2,180,reward
18,1.785714286,5,180,reward
19,3.571428571,10,180,reward
20,7.142857143,20,180,reward
21,1.666666667,2,2,reward
22,4.166666667,5,2,reward
23,8.333333333,10,2,reward
24,16.66666667,20,2,reward
25,1.176470588,2,7,reward
26,2.941176471,5,7,reward
27,5.882352941,10,7,reward
28,11.76470588,20,7,reward
29,0.5,2,30,reward
30,1.25,5,30,reward
31,2.5,10,30,reward
32,5,20,30,reward
33,0.2,2,90,reward
34,0.5,5,90,reward
35,1,10,90,reward
36,2,20,90,reward
37,0.105263158,2,180,reward
38,0.263157895,5,180,reward
39,0.526315789,10,180,reward
40,1.052631579,20,180,reward
41,1.428571429,2,2,reward
42,3.571428571,5,2,reward
43,7.142857143,10,2,reward
44,14.28571429,20,2,reward
45,0.833333333,2,7,reward
46,2.083333333,5,7,reward
47,4.166666667,10,7,reward
48,8.333333333,20,7,reward
49,0.285714286,2,30,reward
50,0.714285714,5,30,reward
51,1.428571429,10,30,reward
52,2.857142857,20,30,reward
53,0.105263158,2,90,reward
54,0.263157895,5,90,reward
55,0.526315789,10,90,reward
56,1.052631579,20,90,reward
57,0.054054054,2,180,reward
58,0.135135135,5,180,reward
59,0.27027027,10,180,reward
60,0.540540541,20,180,reward
61,0.909090909,2,2,reward
62,2.272727273,5,2,reward
63,4.545454545,10,2,reward
64,9.090909091,20,2,reward
65,0.384615385,2,7,reward
66,0.961538462,5,7,reward
67,1.923076923,10,7,reward
68,3.846153846,20,7,reward
69,0.105263158,2,30,reward
70,0.263157895,5,30,reward
71,0.526315789,10,30,reward
72,1.052631579,20,30,reward
73,0.036363636,2,90,reward
74,0.090909091,5,90,reward
75,0.181818182,10,90,reward
76,0.363636364,20,90,reward
77,0.018348624,2,180,reward
78,0.04587156,5,180,reward
79,0.091743119,10,180,reward
80,0.183486239,20,180,reward
81,1.960784314,2,2,loss
82,4.901960784,5,2,loss
83,9.803921569,10,2,loss
84,19.60784314,20,2,loss
85,1.869158879,2,7,loss
86,4.672897196,5,7,loss
87,9.345794393,10,7,loss
88,18.69158879,20,7,loss
89,1.538461538,2,30,loss
90,3.846153846,5,30,loss
91,7.692307692,10,30,loss
92,15.38461538,20,30,loss
93,1.052631579,2,90,loss
94,2.631578947,5,90,loss
95,5.263157895,10,90,loss
96,10.52631579,20,90,loss
97,0.714285714,2,180,loss
98,1.785714286,5,180,loss
99,3.571428571,10,180,loss
100,7.142857143,20,180,loss
101,1.666666667,2,2,loss
102,4.166666667,5,2,loss
103,8.333333333,10,2,loss
104,16.66666667,20,2,loss
105,1.176470588,2,7,loss
106,2.941176471,5,7,loss
107,5.882352941,10,7,loss
108,11.76470588,20,7,loss
109,0.5,2,30,loss
110,1.25,5,30,loss
111,2.5,10,30,loss
112,5,20,30,loss
113,0.2,2,90,loss
114,0.5,5,90,loss
115,1,10,90,loss
116,2,20,90,loss
117,0.105263158,2,180,loss
118,0.263157895,5,180,loss
119,0.526315789,10,180,loss
120,1.052631579,20,180,loss
121,1.428571429,2,2,loss
122,3.571428571,5,2,loss
123,7.142857143,10,2,loss
124,14.28571429,20,2,loss
125,0.833333333,2,7,loss
126,2.083333333,5,7,loss
127,4.166666667,10,7,loss
128,8.333333333,20,7,loss
129,0.285714286,2,30,loss
130,0.714285714,5,30,loss
131,1.428571429,10,30,loss
132,2.857142857,20,30,loss
133,0.105263158,2,90,loss
134,0.263157895,5,90,loss
135,0.526315789,10,90,loss
136,1.052631579,20,90,loss
137,0.054054054,2,180,loss
138,0.135135135,5,180,loss
139,0.27027027,10,180,loss
140,0.540540541,20,180,loss
141,0.909090909,2,2,loss
142,2.272727273,5,2,loss
143,4.545454545,10,2,loss
144,9.090909091,20,2,loss
145,0.384615385,2,7,loss
146,0.961538462,5,7,loss
147,1.923076923,10,7,loss
148,3.846153846,20,7,loss
149,0.105263158,2,30,loss
150,0.263157895,5,30,loss
151,0.526315789,10,30,loss
152,1.052631579,20,30,loss
153,0.036363636,2,90,loss
154,0.090909091,5,90,loss
155,0.181818182,10,90,loss
156,0.363636364,20,90,loss
157,0.018348624,2,180,loss
158,0.04587156,5,180,loss
159,0.091743119,10,180,loss
160,0.183486239,20,180,loss
