id;immOpt;delOpt;odds;prob;task;probability
1;1;1.9;9;0.1;reward;10
2;1;1.3;3;0.25;reward;25
3;1;1.1;1;0.5;reward;50
4;1;1.033333333;0.333333333;0.75;reward;75
5;1;1.011111111;0.111111111;0.9;reward;90
6;5;9.5;9;0.1;reward;10
7;5;6.5;3;0.25;reward;25
8;5;5.5;1;0.5;reward;50
9;5;5.166666667;0.333333333;0.75;reward;75
10;5;5.055555556;0.111111111;0.9;reward;90
11;10;19;9;0.1;reward;10
12;10;13;3;0.25;reward;25
13;10;11;1;0.5;reward;50
14;10;10.33333333;0.333333333;0.75;reward;75
15;10;10.11111111;0.111111111;0.9;reward;90
16;20;38;9;0.1;reward;10
17;20;26;3;0.25;reward;25
18;20;22;1;0.5;reward;50
19;20;20.66666667;0.333333333;0.75;reward;75
20;20;20.22222222;0.111111111;0.9;reward;90
21;50;95;9;0.1;reward;10
22;50;65;3;0.25;reward;25
23;50;55;1;0.5;reward;50
24;50;51.66666667;0.333333333;0.75;reward;75
25;50;50.55555556;0.111111111;0.9;reward;90
26;1;10;9;0.1;reward;10
27;1;4;3;0.25;reward;25
28;1;2;1;0.5;reward;50
29;1;1.333333333;0.333333333;0.75;reward;75
30;1;1.111111111;0.111111111;0.9;reward;90
31;5;50;9;0.1;reward;10
32;5;20;3;0.25;reward;25
33;5;10;1;0.5;reward;50
34;5;6.666666667;0.333333333;0.75;reward;75
35;5;5.555555556;0.111111111;0.9;reward;90
36;10;100;9;0.1;reward;10
37;10;40;3;0.25;reward;25
38;10;20;1;0.5;reward;50
39;10;13.33333333;0.333333333;0.75;reward;75
40;10;11.11111111;0.111111111;0.9;reward;90
41;20;200;9;0.1;reward;10
42;20;80;3;0.25;reward;25
43;20;40;1;0.5;reward;50
44;20;26.66666667;0.333333333;0.75;reward;75
45;20;22.22222222;0.111111111;0.9;reward;90
46;50;500;9;0.1;reward;10
47;50;200;3;0.25;reward;25
48;50;100;1;0.5;reward;50
49;50;66.66666667;0.333333333;0.75;reward;75
50;50;55.55555556;0.111111111;0.9;reward;90
51;1;28;9;0.1;reward;10
52;1;10;3;0.25;reward;25
53;1;4;1;0.5;reward;50
54;1;2;0.333333333;0.75;reward;75
55;1;1.333333333;0.111111111;0.9;reward;90
56;5;140;9;0.1;reward;10
57;5;50;3;0.25;reward;25
58;5;20;1;0.5;reward;50
59;5;10;0.333333333;0.75;reward;75
60;5;6.666666667;0.111111111;0.9;reward;90
61;10;280;9;0.1;reward;10
62;10;100;3;0.25;reward;25
63;10;40;1;0.5;reward;50
64;10;20;0.333333333;0.75;reward;75
65;10;13.33333333;0.111111111;0.9;reward;90
66;20;560;9;0.1;reward;10
67;20;200;3;0.25;reward;25
68;20;80;1;0.5;reward;50
69;20;40;0.333333333;0.75;reward;75
70;20;26.66666667;0.111111111;0.9;reward;90
71;50;1400;9;0.1;reward;10
72;50;500;3;0.25;reward;25
73;50;200;1;0.5;reward;50
74;50;100;0.333333333;0.75;reward;75
75;50;66.66666667;0.111111111;0.9;reward;90
76;1;91;9;0.1;reward;10
77;1;31;3;0.25;reward;25
78;1;11;1;0.5;reward;50
79;1;4.333333333;0.333333333;0.75;reward;75
80;1;2.111111111;0.111111111;0.9;reward;90
81;5;455;9;0.1;reward;10
82;5;155;3;0.25;reward;25
83;5;55;1;0.5;reward;50
84;5;21.66666667;0.333333333;0.75;reward;75
85;5;10.55555556;0.111111111;0.9;reward;90
86;10;910;9;0.1;reward;10
87;10;310;3;0.25;reward;25
88;10;110;1;0.5;reward;50
89;10;43.33333333;0.333333333;0.75;reward;75
90;10;21.11111111;0.111111111;0.9;reward;90
91;20;1820;9;0.1;reward;10
92;20;620;3;0.25;reward;25
93;20;220;1;0.5;reward;50
94;20;86.66666667;0.333333333;0.75;reward;75
95;20;42.22222222;0.111111111;0.9;reward;90
96;50;4550;9;0.1;reward;10
97;50;1550;3;0.25;reward;25
98;50;550;1;0.5;reward;50
99;50;216.6666667;0.333333333;0.75;reward;75
100;50;105.5555556;0.111111111;0.9;reward;90
101;1;1.9;9;0.1;loss;10
102;1;1.3;3;0.25;loss;25
103;1;1.1;1;0.5;loss;50
104;1;1.033333333;0.333333333;0.75;loss;75
105;1;1.011111111;0.111111111;0.9;loss;90
106;5;9.5;9;0.1;loss;10
107;5;6.5;3;0.25;loss;25
108;5;5.5;1;0.5;loss;50
109;5;5.166666667;0.333333333;0.75;loss;75
110;5;5.055555556;0.111111111;0.9;loss;90
111;10;19;9;0.1;loss;10
112;10;13;3;0.25;loss;25
113;10;11;1;0.5;loss;50
114;10;10.33333333;0.333333333;0.75;loss;75
115;10;10.11111111;0.111111111;0.9;loss;90
116;20;38;9;0.1;loss;10
117;20;26;3;0.25;loss;25
118;20;22;1;0.5;loss;50
119;20;20.66666667;0.333333333;0.75;loss;75
120;20;20.22222222;0.111111111;0.9;loss;90
121;50;95;9;0.1;loss;10
122;50;65;3;0.25;loss;25
123;50;55;1;0.5;loss;50
124;50;51.66666667;0.333333333;0.75;loss;75
125;50;50.55555556;0.111111111;0.9;loss;90
126;1;10;9;0.1;loss;10
127;1;4;3;0.25;loss;25
128;1;2;1;0.5;loss;50
129;1;1.333333333;0.333333333;0.75;loss;75
130;1;1.111111111;0.111111111;0.9;loss;90
131;5;50;9;0.1;loss;10
132;5;20;3;0.25;loss;25
133;5;10;1;0.5;loss;50
134;5;6.666666667;0.333333333;0.75;loss;75
135;5;5.555555556;0.111111111;0.9;loss;90
136;10;100;9;0.1;loss;10
137;10;40;3;0.25;loss;25
138;10;20;1;0.5;loss;50
139;10;13.33333333;0.333333333;0.75;loss;75
140;10;11.11111111;0.111111111;0.9;loss;90
141;20;200;9;0.1;loss;10
142;20;80;3;0.25;loss;25
143;20;40;1;0.5;loss;50
144;20;26.66666667;0.333333333;0.75;loss;75
145;20;22.22222222;0.111111111;0.9;loss;90
146;50;500;9;0.1;loss;10
147;50;200;3;0.25;loss;25
148;50;100;1;0.5;loss;50
149;50;66.66666667;0.333333333;0.75;loss;75
150;50;55.55555556;0.111111111;0.9;loss;90
151;1;28;9;0.1;loss;10
152;1;10;3;0.25;loss;25
153;1;4;1;0.5;loss;50
154;1;2;0.333333333;0.75;loss;75
155;1;1.333333333;0.111111111;0.9;loss;90
156;5;140;9;0.1;loss;10
157;5;50;3;0.25;loss;25
158;5;20;1;0.5;loss;50
159;5;10;0.333333333;0.75;loss;75
160;5;6.666666667;0.111111111;0.9;loss;90
161;10;280;9;0.1;loss;10
162;10;100;3;0.25;loss;25
163;10;40;1;0.5;loss;50
164;10;20;0.333333333;0.75;loss;75
165;10;13.33333333;0.111111111;0.9;loss;90
166;20;560;9;0.1;loss;10
167;20;200;3;0.25;loss;25
168;20;80;1;0.5;loss;50
169;20;40;0.333333333;0.75;loss;75
170;20;26.66666667;0.111111111;0.9;loss;90
171;50;1400;9;0.1;loss;10
172;50;500;3;0.25;loss;25
173;50;200;1;0.5;loss;50
174;50;100;0.333333333;0.75;loss;75
175;50;66.66666667;0.111111111;0.9;loss;90
176;1;91;9;0.1;loss;10
177;1;31;3;0.25;loss;25
178;1;11;1;0.5;loss;50
179;1;4.333333333;0.333333333;0.75;loss;75
180;1;2.111111111;0.111111111;0.9;loss;90
181;5;455;9;0.1;loss;10
182;5;155;3;0.25;loss;25
183;5;55;1;0.5;loss;50
184;5;21.66666667;0.333333333;0.75;loss;75
185;5;10.55555556;0.111111111;0.9;loss;90
186;10;910;9;0.1;loss;10
187;10;310;3;0.25;loss;25
188;10;110;1;0.5;loss;50
189;10;43.33333333;0.333333333;0.75;loss;75
190;10;21.11111111;0.111111111;0.9;loss;90
191;20;1820;9;0.1;loss;10
192;20;620;3;0.25;loss;25
193;20;220;1;0.5;loss;50
194;20;86.66666667;0.333333333;0.75;loss;75
195;20;42.22222222;0.111111111;0.9;loss;90
196;50;4550;9;0.1;loss;10
197;50;1550;3;0.25;loss;25
198;50;550;1;0.5;loss;50
199;50;216.6666667;0.333333333;0.75;loss;75
200;50;105.5555556;0.111111111;0.9;loss;90
