,subject,task,beta,hh,LL,n_trials
0,5g7hl9ua7,reward,0.06455433270885513,0.45322606175486985,-53.364895233395856,90
0,5g7hl9ua7,loss,0.37034174738620884,0.0,-20.63401566840415,90
0,5g7hl9ua7,reward,0.06455428113329227,0.45322576093374534,-53.364895233395366,90
0,5g7hl9ua7,loss,0.37034174201480324,0.0,-20.634015668404146,90
0,5g7hl9ua7,reward,0.06455429658262458,0.45322582283363855,-53.36489523339529,90
0,5g7hl9ua7,loss,0.3703417586433883,0.0,-20.634015668404153,90
0,5g7hl9ua7,reward,0.0645542740294523,0.4532256482778489,-53.36489523339549,90
0,5g7hl9ua7,loss,0.3703417342948555,0.0,-20.634015668404153,90
0,5g7hl9ua7,reward,0.06455431233189415,0.4532259419171213,-53.364895233395416,90
0,5g7hl9ua7,loss,0.37034173653401925,0.0,-20.634015668404153,90
0,5g7hl9ua7,reward,0.0645542959357086,0.4532258156400192,-53.3648952333953,90
0,5g7hl9ua7,loss,0.3703417401961994,0.0,-20.63401566840415,90
0,5g7hl9ua7,reward,0.06455429996138937,0.4532259065270667,-53.364895233395366,90
0,5g7hl9ua7,loss,0.3703417428932513,0.0,-20.63401566840415,90
0,5g7hl9ua7,reward,0.06455428381548033,0.4532257375093427,-53.36489523339532,90
0,5g7hl9ua7,loss,0.3703417512743029,0.0,-20.634015668404146,90
0,5g7hl9ua7,reward,0.06455430282759708,0.4532259069069354,-53.36489523339534,90
0,5g7hl9ua7,loss,0.37034174235269485,0.0,-20.63401566840415,90
0,5g7hl9ua7,reward,0.0645543260545061,0.4532262091774523,-53.36489523339648,90
0,5g7hl9ua7,loss,0.37034175207348297,0.0,-20.63401566840415,90
0,5g7hl9ua7,reward,0.06316779802769143,0.45102370369430606,-53.304201757055075,89
0,5g7hl9ua7,loss,0.37034174580396734,0.0,-20.634015668404146,89
0,5g7hl9ua7,reward,0.06453651538251136,0.45975607831121806,-52.78494757203225,89
0,5g7hl9ua7,loss,0.37316265009983685,0.0,-19.857751987797563,89
0,5g7hl9ua7,reward,0.09106331375354682,0.5145773078129963,-50.775628592330285,89
0,5g7hl9ua7,loss,0.37032696317239405,0.0,-20.633970225340867,89
0,5g7hl9ua7,reward,0.06385372937708304,0.45212140646556437,-52.760241750004596,89
0,5g7hl9ua7,loss,0.37033635842194096,0.0,-20.634000709125704,89
0,5g7hl9ua7,reward,0.06806929988521997,0.47135580043614694,-52.47812304089196,89
0,5g7hl9ua7,loss,0.36145395893068444,0.0,-20.34609026820638,89
0,5g7hl9ua7,reward,0.06143859980373515,0.43699566442519233,-52.906841088322444,89
0,5g7hl9ua7,loss,0.36738688681114073,0.0,-20.609318827612988,89
0,5g7hl9ua7,reward,0.06414996757060612,0.4573475352617326,-52.80589618075406,89
0,5g7hl9ua7,loss,0.4350915061757349,0.0,-18.505133582765755,89
0,5g7hl9ua7,reward,0.06465033980154275,0.45290720145908214,-52.652919504114664,89
0,5g7hl9ua7,loss,0.36188637190446177,0.0,-20.29724140674311,89
0,5g7hl9ua7,reward,0.06448105241788948,0.45525731128200186,-52.71569962956033,89
0,5g7hl9ua7,loss,0.3639510618257773,0.0,-20.55115973552947,89
0,5g7hl9ua7,reward,0.06447488899551776,0.4537210127678478,-52.691345129935634,89
0,5g7hl9ua7,loss,0.3703417357842248,0.0,-20.63401566840415,89
0,5g7hl9ua7,reward,0.06070008056819956,0.4437094463287606,-52.9440100250373,88
0,5g7hl9ua7,loss,0.36616831956407997,0.0,-20.60181933979536,88
0,5g7hl9ua7,reward,0.05955025263830015,0.44018450501502976,-52.71963200388879,88
0,5g7hl9ua7,loss,0.3703042574339664,0.0,-20.63389691808702,88
0,5g7hl9ua7,reward,0.061348602149840566,0.4477162051149915,-52.4231658171273,88
0,5g7hl9ua7,loss,0.36130102698778743,0.0,-20.480994047327396,88
0,5g7hl9ua7,reward,0.06493839199807855,0.4698315922242596,-52.22867314770792,88
0,5g7hl9ua7,loss,0.36645306479552736,0.0,-20.598098095234747,88
0,5g7hl9ua7,reward,0.0651891964967529,0.465288033547631,-52.08555222972145,88
0,5g7hl9ua7,loss,0.3636046143479299,0.0,-20.54357459176359,88
0,5g7hl9ua7,reward,0.06340938876326326,0.44617817908771135,-52.03763887136679,88
0,5g7hl9ua7,loss,0.37186133877704586,0.0,-19.893169036067224,88
0,5g7hl9ua7,reward,0.06114180073338788,0.4425834439644346,-53.17766565542329,88
0,5g7hl9ua7,loss,0.3621021312097803,0.0,-20.55524561383035,88
0,5g7hl9ua7,reward,0.061697153745710755,0.4460230558468296,-52.37710253743987,88
0,5g7hl9ua7,loss,0.3693220280623809,0.0,-19.90857059728305,88
0,5g7hl9ua7,reward,0.11079407650855429,0.3996570963025581,-45.863763941599444,88
0,5g7hl9ua7,loss,0.3701952181392468,0.0,-20.633407874313356,88
0,5g7hl9ua7,reward,0.0638699912604595,0.4520222701827969,-52.063157024060516,88
0,5g7hl9ua7,loss,0.37034153672629533,0.0,-20.63401524199325,88
0,5g7hl9ua7,reward,0.06489184597468373,0.4565524554426698,-51.34661856559274,87
0,5g7hl9ua7,loss,0.3702764847520317,0.0,-20.633774996452065,87
0,5g7hl9ua7,reward,0.06527245593591846,0.4639955331080036,-51.36079562070446,87
0,5g7hl9ua7,loss,0.36055028637035685,0.0,-20.37046603100536,87
0,5g7hl9ua7,reward,0.0643035593966299,0.4589951067396766,-51.97013197004582,87
0,5g7hl9ua7,loss,0.3618796692257594,0.0,-20.297222127857466,87
0,5g7hl9ua7,reward,0.06138358416438116,0.4477900630673465,-52.33861677240053,87
0,5g7hl9ua7,loss,0.3682367074824819,0.0,-20.618444585724355,87
0,5g7hl9ua7,reward,0.09090611019500384,0.5084778108973698,-49.95773235510553,87
0,5g7hl9ua7,loss,0.34370044524523535,0.0,-19.840348603971336,87
0,5g7hl9ua7,reward,0.06333994301635028,0.4451552056512166,-51.33822738652955,87
0,5g7hl9ua7,loss,0.4058341640376812,0.0,-18.898892055623964,87
0,5g7hl9ua7,reward,0.06273910549979192,0.4691227769782871,-52.098316588914344,87
0,5g7hl9ua7,loss,0.37603312497388663,0.0,-19.14118522801622,87
0,5g7hl9ua7,reward,0.08118827824245697,0.48106525441498776,-49.889160328194414,87
0,5g7hl9ua7,loss,0.3605516513193107,0.0,-20.3704693386118,87
0,5g7hl9ua7,reward,0.06209214118263444,0.4563758214659863,-51.77898156105569,87
0,5g7hl9ua7,loss,0.3613291655572143,0.0,-20.407964313945666,87
0,5g7hl9ua7,reward,0.08812873435233436,0.5073909745555748,-49.895237996927946,87
0,5g7hl9ua7,loss,0.3614195789809265,0.0,-20.345978624867183,87
0,5g7hl9ua7,reward,0.06595360107459655,0.48754136552943517,-50.97406229499778,86
0,5g7hl9ua7,loss,0.3559840418624845,0.0,-19.197967885844182,86
0,5g7hl9ua7,reward,0.06512062769219375,0.46252756323522953,-51.71021290890357,86
0,5g7hl9ua7,loss,0.3700911537150498,0.0,-20.6329808683254,86
0,5g7hl9ua7,reward,0.06378844437860012,0.48210312909732267,-51.858126671240186,86
0,5g7hl9ua7,loss,0.3645550642153298,0.0,-18.96503674875419,86
0,5g7hl9ua7,reward,0.06031921122363063,0.4451742739281569,-51.2273359803714,86
0,5g7hl9ua7,loss,0.36115878724425104,0.0,-20.4072368697883,86
0,5g7hl9ua7,reward,0.06052283196781971,0.443099831072974,-52.008075970065896,86
0,5g7hl9ua7,loss,0.37312177877872177,0.0,-19.47505963289538,86
0,5g7hl9ua7,reward,0.06405131340074278,0.4556395680941512,-50.71197422977257,86
0,5g7hl9ua7,loss,0.3495841703830502,0.0,-20.397275234549593,86
0,5g7hl9ua7,reward,0.060365814829773594,0.47394848991567473,-51.84449052464319,86
0,5g7hl9ua7,loss,0.4082483217660668,0.0,-18.565490365658846,86
0,5g7hl9ua7,reward,0.06349141430171953,0.43454558256997866,-50.48050332245598,86
0,5g7hl9ua7,loss,0.4028072841620869,0.0,-18.595709153384036,86
0,5g7hl9ua7,reward,0.06384547140068876,0.4810036208282032,-51.64395429023399,86
0,5g7hl9ua7,loss,0.36146117123362176,0.0,-20.456926126549487,86
0,5g7hl9ua7,reward,0.05990632449888877,0.4493256165232013,-51.37057263349941,86
0,5g7hl9ua7,loss,0.3497510301603394,0.0,-20.053307345947363,86
0,5g7hl9ua7,reward,0.061804318542632734,0.4866924532345215,-51.479050275179425,85
0,5g7hl9ua7,loss,0.3636558492137846,0.0,-20.54376264870341,85
0,5g7hl9ua7,reward,0.06378727977117137,0.47085504954570406,-50.48039087842742,85
0,5g7hl9ua7,loss,0.36368711999623127,0.0,-19.315991255191527,85
