task,beta,hh,LL,n_trials,subject
reward,0.253863393,2.124477792,-53.23278563,89,0rh9ao68x
loss,0.023362214,0,-52.35595609,89,0rh9ao68x
reward,0.253863443,2.124477974,-53.23278563,89,0rh9ao68x
loss,0.023491133,0,-51.64103742,89,0rh9ao68x
reward,0.253863405,2.124477913,-53.23278563,89,0rh9ao68x
loss,0.024007093,0,-51.47288657,89,0rh9ao68x
reward,0.253863424,2.124477879,-53.23278563,89,0rh9ao68x
loss,0.023547669,0,-51.6214489,89,0rh9ao68x
reward,0.253863418,2.124477954,-53.23278563,89,0rh9ao68x
loss,0.145967739,1.025399066,-52.75603304,89,0rh9ao68x
reward,0.253863419,2.124477898,-53.23278563,89,0rh9ao68x
loss,0.02266064,0,-52.05608981,89,0rh9ao68x
reward,0.25386344,2.124477911,-53.23278563,89,0rh9ao68x
loss,0.027951302,0.064705726,-51.95783265,89,0rh9ao68x
reward,0.2538634,2.124478081,-53.23278563,89,0rh9ao68x
loss,0.023456123,0,-51.65335686,89,0rh9ao68x
reward,0.253863417,2.12447796,-53.23278563,89,0rh9ao68x
loss,0.148445413,1.015925028,-52.18899074,89,0rh9ao68x
reward,0.253863402,2.124477984,-53.23278563,89,0rh9ao68x
loss,0.02266064,0,-52.05608981,89,0rh9ao68x
reward,0.250902398,2.157413052,-52.984475,88,0rh9ao68x
loss,0.022664142,0,-51.36169542,88,0rh9ao68x
reward,0.246157775,2.098865698,-53.03852394,88,0rh9ao68x
loss,0.146373291,1.033311346,-52.22202731,88,0rh9ao68x
reward,0.260107163,2.080607337,-52.09192704,88,0rh9ao68x
loss,0.022448093,0,-51.37343872,88,0rh9ao68x
reward,0.246680811,2.101435831,-53.07839456,88,0rh9ao68x
loss,0.129542594,0.893619572,-51.46564016,88,0rh9ao68x
reward,0.254535563,2.120130497,-52.48787213,88,0rh9ao68x
loss,0.022994707,0,-51.15258668,88,0rh9ao68x
reward,0.250886856,2.155958557,-53.03979788,88,0rh9ao68x
loss,0.023511807,0,-50.94060268,88,0rh9ao68x
reward,0.281844075,2.207321459,-51.7109256,88,0rh9ao68x
loss,0.127030854,0.87445998,-51.4321475,88,0rh9ao68x
reward,0.253578172,2.126806351,-52.56448246,88,0rh9ao68x
loss,0.022729313,0,-51.4617583,88,0rh9ao68x
reward,0.253404788,2.129984822,-52.58786461,88,0rh9ao68x
loss,0.13922515,0.975653031,-52.11656237,88,0rh9ao68x
reward,0.25108462,2.148219758,-52.84025316,88,0rh9ao68x
loss,0.024328397,0,-50.67955121,88,0rh9ao68x
reward,0.251762948,2.141121005,-52.03907391,87,0rh9ao68x
loss,0.135438315,0.960844099,-51.21754732,87,0rh9ao68x
reward,0.258114807,2.102161651,-51.63073714,87,0rh9ao68x
loss,0.022858837,0,-50.67375209,87,0rh9ao68x
reward,0.257509354,2.101304179,-51.57485533,87,0rh9ao68x
loss,0.182758804,1.248875273,-51.04127751,87,0rh9ao68x
reward,0.267028333,2.204553058,-51.89047931,87,0rh9ao68x
loss,0.022271911,0,-51.00121493,87,0rh9ao68x
reward,0.244951901,2.139717434,-52.88041089,87,0rh9ao68x
